roiNum,aperiodic_offset,aperiodic_exponent,r_squared,error,num_peaks,roi
1027,5.69766092051492,3586857422415.355,0.9692379712925389,0.059312247302879546,3.9744897959183674,ctx-lh-rostralmiddlefrontal
1028,4.885433442723767,8610296213.312645,0.9787300807864507,0.05743117255975286,4.30448717948718,ctx-lh-superiorfrontal
1029,6.534615438636351,6497091397126869.0,0.969135410298006,0.06086747673124889,3.768518518518518,ctx-lh-superiorparietal
1030,4.671428732255372,243623.71493048957,0.9848867293838393,0.053015505957464314,4.29,ctx-lh-superiortemporal
1031,5.412852520632488,2097601048348136.2,0.9836702073767659,0.05414826391726716,4.242424242424242,ctx-lh-supramarginal
1034,4.350794025154386,69265.07805272836,0.9857360202393564,0.04288992766339315,4.85,ctx-lh-transversetemporal
1035,4.363164674430537,28634593.36366639,0.9826825571729109,0.05584993342677119,4.2896825396825395,ctx-lh-insula
2001,5.46767999741551,219980.90430233246,0.9900172092899858,0.043039192894250476,4.866666666666666,ctx-rh-bankssts
2002,3.9724742987414836,720495.6101750873,0.9739368468814484,0.055935406951135844,4.46875,ctx-rh-caudalanteriorcingulate
2003,7.126069061102782,8.616496539217077e+21,0.9657246706641167,0.060118971537781306,4.321969696969697,ctx-rh-caudalmiddlefrontal
2005,6.240314285723116,734820.6757994074,0.9896782472812247,0.05811587866330276,3.3125,ctx-rh-cuneus
2007,5.485162026280768,605051.3195484552,0.9918085104478741,0.05095022116365671,4.048484848484848,ctx-rh-fusiform
2008,5.316344790221776,29966438.546232596,0.9846482040620868,0.05164610113860844,4.415546218487395,ctx-rh-inferiorparietal
2009,5.585177444692355,530423.0157979171,0.9847685295044993,0.05965759101416445,3.686363636363636,ctx-rh-inferiortemporal
2010,3.519550581577817,1807.0798888149702,0.9457725875539206,0.05191546099472246,5.0,ctx-rh-isthmuscingulate
2011,5.9738544645985066,1821769.3852946274,0.9909528687195829,0.05886055784419009,3.4444444444444446,ctx-rh-lateraloccipital
2012,3.891760980443558,1188109.6048179513,0.9822853338670923,0.049663619896253314,4.17,ctx-rh-lateralorbitofrontal
2013,5.781952200550415,8073502.146095065,0.9873587352140447,0.05195656350797959,3.9285714285714284,ctx-rh-lingual
2014,3.303789359141505,53682.27678195345,0.9818333789240627,0.04659402415381027,5.15,ctx-rh-medialorbitofrontal
2015,4.496466705431944,358085.57250224735,0.9853219283898479,0.05158063020112778,4.301587301587301,ctx-rh-middletemporal
2016,3.2503377126913455,8670.439338599097,0.9902267017814996,0.044982887534897896,3.0,ctx-rh-parahippocampal
2017,7.237954475243843,5.2943268574017146e+20,0.9757200604102111,0.05841064944874915,4.291666666666667,ctx-rh-paracentral
2018,5.411279750934729,14555357214.141172,0.9686512165800998,0.060469976800681724,3.6864583333333334,ctx-rh-parsopercularis
2019,2.8612140135082913,143.75994177241273,0.974186841569856,0.04775093267169626,4.770833333333333,ctx-rh-parsorbitalis
2020,3.9486050815664124,205044.0622738281,0.9757151791474576,0.05076899451724564,4.348484848484849,ctx-rh-parstriangularis
2021,6.218960922173246,641876.9308998272,0.9915606966806912,0.04689440522143546,3.5,ctx-rh-pericalcarine
2022,6.230795364016502,430247164962197.06,0.9777071103420821,0.05075062269085344,4.388888888888888,ctx-rh-postcentral
2023,4.2036348070871385,3846016.9394240775,0.9652161359268382,0.05373986943588941,4.452380952380952,ctx-rh-posteriorcingulate
2024,5.955531407978992,8027506100480655.0,0.9719946012814151,0.055511188251655345,3.9870158730158733,ctx-rh-precentral
2025,4.327029951880605,164537.0413600216,0.9851006904552909,0.053174087370804674,4.203703703703704,ctx-rh-precuneus
2026,3.442800746068288,66497.54870118167,0.9740238704882931,0.06686314537811834,3.25,ctx-rh-rostralanteriorcingulate
2027,5.42596527795428,31823352486925.8,0.9726683547421618,0.056410965236682736,4.54469696969697,ctx-rh-rostralmiddlefrontal
2028,4.1627272212017346,7286158113673340.0,0.9757245565977147,0.05522103826296397,4.091971916971917,ctx-rh-superiorfrontal
2029,5.924653311910018,11973132.057606252,0.9862723373625562,0.05649308815051466,4.0813492063492065,ctx-rh-superiorparietal
2030,4.723092797288732,9838205.51596744,0.9854740876759271,0.05099451140414137,4.05,ctx-rh-superiortemporal
2031,5.6537060332992475,7416627.704787898,0.9847179427033065,0.054180755614845096,4.1675595238095235,ctx-rh-supramarginal
2034,7.686710736947159,3810680.1454961747,0.9861525081735525,0.04601580968621556,5.0,ctx-rh-transversetemporal
2035,4.226094219246887,44049915.19811984,0.9818830950031163,0.05657116977042161,3.664529914529915,ctx-rh-insula
