,deltaRel,thetaRel,alphaRel,betaRel,gammaRel,broadRel,entropy_1min,entropy_fullts
16,0.19581594086647505,0.1560029467732593,0.1404219930596821,0.15679639859359207,0.12806224436233735,0.22290047634465418,0.6607580767255423,0.7898072757514697
17,0.19605403024960275,0.16048651237667405,0.16982866261711838,0.15371565909283874,0.10258643053973017,0.21732870512403585,0.665890858358935,0.795306413221955
18,0.182530090472953,0.16677786227551825,0.1830506089581734,0.1518561289428534,0.09234065061536183,0.22344465873514008,0.6691657180700474,0.7988126066155679
19,0.19419703104011427,0.20570804972525625,0.12263900387574715,0.14270741817536067,0.06649458983090217,0.26825390735261945,0.6610688031191049,0.7901403126302942
20,0.19511959616665417,0.22797239183337584,0.13052576044345923,0.13724935899033114,0.04734939184277625,0.2617835007234034,0.6644939955508964,0.7938103073331987
21,0.18452416065018062,0.17943890738281396,0.15964085797842448,0.17055035728132328,0.08920690859046733,0.21663880811679043,0.659418731814023,0.7883715683888753
22,0.21120256903497941,0.17944719746944232,0.14597734474730137,0.13483714783041076,0.10723098868546826,0.221304752232398,0.6790875178337135,0.8094239888550382
23,0.22151753896741738,0.17924578660969526,0.14175119336785386,0.1299340746681945,0.09932576538880869,0.2282256409980302,0.6799451248126195,0.8103404139124041
24,0.22242290692371794,0.18504302402468484,0.13994794624664864,0.12700931279397465,0.09536763348067732,0.23020917653029646,0.6887957371305111,0.8197908446887706
25,0.22453679830924125,0.18366773933162564,0.13883933156005981,0.1264418647596214,0.09342050016609922,0.2330937658733526,0.684822334422068,0.8155497727564962
26,0.2301800941918252,0.17349719930365384,0.13108384615157032,0.12666720473000453,0.09937998984834984,0.2391916657745962,0.6590419258448628,0.7879675947203312
27,0.17683155236992615,0.17426054468628063,0.14903383985373014,0.15875538179098042,0.1254597474857684,0.21565893381331416,0.6655598238496127,0.7949518905640485
28,0.17801139542378652,0.1706937567202559,0.1486295401245949,0.1609991041836185,0.12558068310698944,0.21608552044075469,0.6612766134836415,0.7903630344556516
29,0.1900730769392821,0.17308614768719027,0.15023151271334306,0.15155422647548505,0.12232450047351408,0.2127305357111856,0.6675724573699269,0.7971070324251813
30,0.1899732131301933,0.17095252412221895,0.15187274791814373,0.15344680838703112,0.1204118855437903,0.2133428208986225,0.6665873221765848,0.7960522312195477
31,0.19045856408428274,0.1677942941910704,0.1476190122001588,0.15532556557709154,0.12258490925800612,0.21621765468939036,0.6730436809793731,0.8029621023819145
32,0.17537099373415876,0.1588546639389953,0.14130709131058203,0.17381295019636814,0.13383299790742229,0.21682130291247342,0.6682716583542663,0.7978555763958534
33,0.13671028015768494,0.1470104120753779,0.13760010296837144,0.1972721618647585,0.16584682493327335,0.21556021800053382,0.6908096447003061,0.8219394249203255
34,0.19336905166420781,0.184026326900901,0.15058896678175027,0.14510176799704025,0.100772283194353,0.22614160346174775,0.671102927455535,0.8008857826472199
35,0.18070784756626262,0.17845859185647017,0.15297902373462385,0.15754543443791996,0.11030413248172037,0.220004969923003,0.678959743618098,0.809287440749785
36,0.18372182607660076,0.17107212223805068,0.1531951307792606,0.16147872215437942,0.11377336755306866,0.21675883119863978,0.6830279729604792,0.8136336741325957
37,0.17841191057413516,0.16112271999892233,0.15317115813293963,0.16443180563866178,0.12613796271320488,0.2167244429421362,0.6792293103186359,0.8095755145953926
38,0.18060313306726627,0.16476151187415358,0.1487991394589844,0.16144559868323877,0.1267480771517073,0.21764253976464965,0.6833301540995889,0.8139563941624904
39,0.17508011378980393,0.1550908131482479,0.1460761579663584,0.17457521983141283,0.12831153410585702,0.2208661611583199,0.6767291404598405,0.8069032231264316
40,0.15371554667853804,0.14205548007418986,0.14026581864336363,0.19979641245826207,0.13527593461204462,0.22889080753360164,0.6751384764871239,0.8052024989069182
41,0.1770497715409791,0.17372984341010342,0.15898653444216396,0.15397703471042803,0.11948794499721493,0.2167688708991104,0.6732530993227992,0.803186110388818
42,0.1839853948489075,0.1725151024123205,0.1529067229745213,0.15633418971076748,0.11455026083756278,0.2197083292159205,0.683997169717116,0.8146686920467956
43,0.18461536565245026,0.17145134979464255,0.1611025075465992,0.15600579525928157,0.09627623478066125,0.2305487469663652,0.6824118714287383,0.8129756496040585
44,0.18130923128697768,0.16730108496755422,0.1588180922728014,0.16123570876636872,0.10601879186033894,0.2253170908459591,0.6826619018754105,0.81324270118056
45,0.1905722674378456,0.16140384006970826,0.14837637949369983,0.15697066419216876,0.12099469773579363,0.22168215107078382,0.6823977834267139,0.81296060223247
46,0.18127175245545615,0.15474241227407276,0.1474136062773368,0.16587157599167687,0.12902769531869301,0.2216729576827644,0.6807650911719684,0.8112165008708847
47,0.15623646894612483,0.15972101380415557,0.163174701526087,0.1768635203053069,0.11471659185331004,0.22928770356501565,0.6700320010746584,0.799739771539288
48,0.1877662575428267,0.17626516711680984,0.15238002643546197,0.15102921013121728,0.11963802721080745,0.2129213115628767,0.6636580037240909,0.7929147569417023
49,0.1855964581430987,0.1780845718727925,0.15626782123837166,0.1510654111203676,0.11305808523452746,0.21592765239084202,0.673468352433064,0.8034163518159446
50,0.18112715591569956,0.17526235137146554,0.15213531756234913,0.15387311410711363,0.11731921075821809,0.22028285028515404,0.6830081469780622,0.813612500068251
51,0.18728993919292836,0.17566570406962656,0.15013668948834893,0.15309330329597554,0.11129166599018217,0.22252269796293844,0.6871141064550438,0.8179962495090051
52,0.19289364047106142,0.17075284311490166,0.14161588733560768,0.15627792707883528,0.11016414068944307,0.22829556131015083,0.6878597635567023,0.8187920541602776
53,0.16832298148578906,0.16141217654767737,0.1435227995582859,0.16936338108306195,0.12632661622687713,0.23105204509830843,0.6795702670173402,0.809939862155039
54,0.1699085178497161,0.16140263070001876,0.14373309582954652,0.17289209229653643,0.1350290160816928,0.21703464724248933,0.6743876953677491,0.8043996202743053
55,0.198932720984079,0.18212177649490585,0.15371960906816134,0.14268276744453534,0.10658327631666564,0.21595984969165288,0.6662304625367819,0.7956700936827679
56,0.19997776103144596,0.1866965103100141,0.15321268160653156,0.14108118386733953,0.10142256567687476,0.21760929750779412,0.6697485478211758,0.7994364116432057
57,0.19746117114840941,0.1828115681144049,0.1531013829269662,0.14272675501460994,0.10715943714644488,0.21673968564916468,0.6741383772449099,0.8041329803837296
58,0.20583585653986944,0.17483117821821034,0.14891862072393788,0.144723680655628,0.10426362243181023,0.22142704143054412,0.6957287923950659,0.827184735658086
59,0.1964773007506332,0.17264197193204817,0.13965041526287805,0.15850682111684605,0.09284398731849933,0.23987950361909516,0.6740390115052683,0.8040267080889502
60,0.17920542159214617,0.1606372082800162,0.12603121273299137,0.17567852896814148,0.114854431351281,0.2435931970754237,0.6722708027668057,0.8021353144500721
61,0.17989600065795702,0.17257864774698015,0.13565807888673345,0.1614586283751538,0.11506553912482802,0.23534310520834753,0.665189989074428,0.7945557919277086
62,0.21096644830595232,0.17992431743080983,0.14656844219297152,0.13829557284646618,0.1007378408053657,0.2235073784184344,0.6685013950935056,0.7981015072259982
63,0.20824760492716185,0.17970040373999283,0.1462200192855,0.1411164190285102,0.10491866564910937,0.21979688736972564,0.6717152065086797,0.8015409008412738
64,0.18885024783041796,0.18171248619218092,0.1535053624250072,0.1491378144538463,0.11496569714680406,0.21182839195174352,0.6652646351455604,0.7946357409282434
65,0.1938292434779531,0.1770251476353006,0.15062171801328259,0.15065621762150344,0.11182435992849661,0.21604331332346366,0.66959929801532,0.7992766745808337
66,0.19965530550286736,0.17397055177186674,0.14746966691166016,0.15369987819923747,0.09275764090855743,0.2324469567058109,0.6761378370627099,0.8062710569478924
67,0.20187471057151532,0.17711807326918708,0.1341016224877701,0.15185688565217392,0.08583652701801976,0.24921218100133377,0.6645969135135098,0.7939205489935193
68,0.22129620762750946,0.19609775682969038,0.14046278378033053,0.12886735211206268,0.05977617962504358,0.2534997200253635,0.6715215207163543,0.8013336704815232
69,0.21324571966893685,0.18157379049650024,0.14491933987784147,0.13496144873487284,0.10449606690352568,0.22080363431832278,0.6784567784873972,0.8087499116281518
70,0.21271159919791402,0.17731949779957645,0.14233440817224505,0.1374110568513803,0.1111096013606256,0.2191138366182586,0.6808370937824734,0.8112934261198033
71,0.20223504997000202,0.1746096746160664,0.1443362367181447,0.1469903423551335,0.1169593407091801,0.21486935563147316,0.6660750616949497,0.7955036781798049
72,0.1925457213639772,0.17049172535674262,0.14918871277732895,0.15610856794143976,0.11643687162164171,0.21522840093886983,0.6665455312956526,0.7960074812612029
