Region,Feature,U_statistic,AUC,p_value,hup_n,mni_n,p_value_bonferroni_threshold,significant_bonferroni,p_value_fdr,significant_fdr
ctx-rh-lateraloccipital,deltaRel_mean,51.0,0.4722222222222222,0.8589842960089598,9,12,0.00021645021645021645,False,0.9596774193548387,False
ctx-rh-lateraloccipital,thetaRel_mean,60.0,0.5555555555555556,0.695894823170777,9,12,0.00021645021645021645,False,0.9116478404975775,False
ctx-rh-lateraloccipital,alphaRel_mean,28.0,0.25925925925925924,0.06995435858001026,9,12,0.00021645021645021645,False,0.4367420765400641,False
ctx-rh-lateraloccipital,betaRel_mean,53.0,0.49074074074074076,0.9716543717925432,9,12,0.00021645021645021645,False,0.9847014646632183,False
ctx-rh-lateraloccipital,gammaRel_mean,83.0,0.7685185185185185,0.04282560923089136,9,12,0.00021645021645021645,False,0.41219648884732935,False
ctx-rh-lateraloccipital,entropy_1min_mean,83.0,0.7685185185185185,0.04282560923089136,9,12,0.00021645021645021645,False,0.41219648884732935,False
ctx-rh-lateraloccipital,entropy_fullts_mean,83.0,0.7685185185185185,0.04282560923089136,9,12,0.00021645021645021645,False,0.41219648884732935,False
ctx-rh-precentral,deltaRel_mean,165.0,0.55,0.6380391765564344,12,25,0.00021645021645021645,False,0.8878737938827491,False
ctx-rh-precentral,thetaRel_mean,167.0,0.5566666666666666,0.5924212082473992,12,25,0.00021645021645021645,False,0.8447487599083284,False
ctx-rh-precentral,alphaRel_mean,145.0,0.48333333333333334,0.8839219575893396,12,25,0.00021645021645021645,False,0.9596774193548387,False
ctx-rh-precentral,betaRel_mean,119.0,0.39666666666666667,0.3223937922416762,12,25,0.00021645021645021645,False,0.6978025798544186,False
ctx-rh-precentral,gammaRel_mean,125.0,0.4166666666666667,0.4266804216906248,12,25,0.00021645021645021645,False,0.7479128162641004,False
ctx-rh-precentral,entropy_1min_mean,199.0,0.6633333333333333,0.11559203278510087,12,25,0.00021645021645021645,False,0.5038067844029868,False
ctx-rh-precentral,entropy_fullts_mean,199.0,0.6633333333333333,0.11559203278510087,12,25,0.00021645021645021645,False,0.5038067844029868,False
ctx-lh-caudalmiddlefrontal,deltaRel_mean,20.0,0.5,1.0,5,8,0.00021645021645021645,False,1.0,False
ctx-lh-caudalmiddlefrontal,thetaRel_mean,27.0,0.675,0.3543123543123543,5,8,0.00021645021645021645,False,0.7096398799457719,False
ctx-lh-caudalmiddlefrontal,alphaRel_mean,16.0,0.4,0.6216006216006216,5,8,0.00021645021645021645,False,0.8755472170106315,False
ctx-lh-caudalmiddlefrontal,betaRel_mean,14.0,0.35,0.43512043512043513,5,8,0.00021645021645021645,False,0.7479128162641004,False
ctx-lh-caudalmiddlefrontal,gammaRel_mean,20.0,0.5,1.0,5,8,0.00021645021645021645,False,1.0,False
ctx-lh-caudalmiddlefrontal,entropy_1min_mean,28.0,0.7,0.28438228438228436,5,8,0.00021645021645021645,False,0.6865466022991971,False
ctx-lh-caudalmiddlefrontal,entropy_fullts_mean,28.0,0.7,0.28438228438228436,5,8,0.00021645021645021645,False,0.6865466022991971,False
ctx-lh-superiortemporal,deltaRel_mean,158.0,0.5642857142857143,0.5402913746074199,14,20,0.00021645021645021645,False,0.8133469556876581,False
ctx-lh-superiortemporal,thetaRel_mean,172.0,0.6142857142857143,0.2703441406547801,14,20,0.00021645021645021645,False,0.6865466022991971,False
