roiNum,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,roi
1008,-0.15153755521328804,0.1689081490845591,4.005939978959017,12.933333333333334,0.1601811052537738,0.0016747868795016676,0.8123203503525586,750.9777777777778,0.004603110977729136,48.93333333333334,0.3341734370255887,8.288888888888888,0.38844963458740545,-0.07323366013071896,-0.05795383986928104,0.8929477177444397,116.87777777777778,1.7122030190522524,0.3988888888888889,0.3913333333333333,0.25086125256999253,0.6709546405030152,ctx-lh-inferiorparietal
1009,0.13226289838650743,0.08374892505505392,5.1457396777826325,13.865384615384615,0.2815171435159329,-0.0020718892234637405,0.7913366555987337,392.17435897435894,0.004659200940906356,40.6576923076923,0.4814162813088433,8.687179487179488,0.39510695497775755,-0.05366478129713424,-0.061998963046757165,0.9439065067958488,116.46666666666667,1.6242111091937832,0.4004615384615385,0.36738461538461537,0.2114022189910128,0.5601853247142313,ctx-lh-inferiortemporal
1010,0.206585570946065,0.02299174494197337,5.03692433703775,19.984848484848484,0.19564675416658456,0.0026384927554084364,0.8183500569337764,706.2878787878788,0.004402888090066497,78.80303030303031,0.35816429608435263,11.484848484848486,0.20475925003788784,-0.08458611853832441,-0.0772699420677362,0.8583563724589393,115.77272727272727,1.7387435582234045,0.41,0.3609090909090909,0.2270117250072275,0.6605199712513549,ctx-lh-isthmuscingulate
1011,-2.4395467423269208e-05,-0.08349228214466349,6.0163504340972365,18.345238095238095,0.3467973741764657,-0.0009229904516547747,0.7802123055266669,545.3809523809524,0.004826596375832532,40.36904761904763,0.5593125548310991,10.476190476190478,0.3960245262846194,-0.0938357843137255,-0.1015642507002801,0.9628939589893477,116.79761904761905,1.5744753736008692,0.4054761904761905,0.3742857142857143,0.19026840272597081,0.5090303683784658,ctx-lh-lateraloccipital
1012,-0.06872944831870516,-0.0861943563910948,5.9516895796505,24.00925925925926,0.22614798802012537,-0.0007558753413842729,0.81061822356219,496.46759259259255,0.0038316344695569493,78.84722222222223,0.4320883080465134,12.87037037037037,0.20782197601717295,-0.11334303513071894,-0.11277079929193899,0.8866739235139337,121.41203703703702,1.6940250951495406,0.4189814814814815,0.3661111111111111,0.1783217157102641,0.6097083024253979,ctx-lh-lateralorbitofrontal
1013,-0.0668333923060129,0.022622934311306877,4.7703621146679795,11.65,0.3059979618375058,0.001899930816969594,0.7889084981738854,447.6333333333334,0.005231801623153985,28.416666666666668,0.5569229423072567,6.7,0.6022781995245764,-0.10573651960784314,-0.08915379901960785,0.9596053622556152,116.91666666666667,1.6048328251999882,0.31666666666666665,0.36800000000000005,0.23810577621294815,0.5605289349511211,ctx-lh-lingual
1014,0.28730054287635526,-0.13452724626875187,5.668777502523228,23.60606060606061,0.21394830191469474,0.0015287383810015183,0.8155668754609853,383.92424242424244,0.004132458655074222,68.45454545454545,0.4242488015940608,12.757575757575758,0.1999607096332868,-0.1268560606060606,-0.14202150178253123,0.8750027177061735,119.1969696969697,1.7140943561169544,0.42939393939393944,0.38242424242424244,0.1941880224664451,0.6338382734127432,ctx-lh-medialorbitofrontal
1015,0.06562360526298706,0.058296789200657305,5.559945219587585,18.245535714285715,0.2695860416372971,-0.003559417898186175,0.7919943999733875,550.6609126984127,0.004790233338248495,45.01309523809524,0.4470109735208699,11.122222222222222,0.3837832706110738,-0.08980354589752566,-0.09022452366363211,0.9392990728795607,116.7483134920635,1.6382513184639194,0.40600198412698413,0.38168452380952383,0.21300346654555288,0.5659456805890434,ctx-lh-middletemporal
1017,-0.15223106720423304,0.0762446797464612,2.7761802519523404,7.0,0.11198959027403932,-0.04888950131158735,0.8296627202980611,509.7083333333333,0.005180549033416677,14.833333333333334,0.2664265328102483,3.7083333333333335,0.40619588744588747,-0.11170343137254901,-0.11173560049019605,0.6414010077333541,116.91666666666667,1.8225618185302241,0.37333333333333335,0.3425,0.3952077794456048,0.8756591190265443,ctx-lh-paracentral
1018,-0.14119927089020082,0.027906345996508024,3.819204919743875,11.285648148148148,0.1805093707418214,-0.004115526026937297,0.8187962145909422,782.2814814814815,0.0042470582459586065,34.17314814814815,0.3776086298048363,6.434722222222223,0.33061577696994365,-0.09252896922657951,-0.09244995915032679,0.8358891977146395,118.73055555555555,1.7403262624728273,0.4036851851851852,0.37110185185185185,0.282199734381393,0.7216414236307834,ctx-lh-parsopercularis
1019,-0.12632762068117084,-0.15223600786401995,6.220158659632806,22.333333333333332,0.17741952070777853,0.00041350507089660087,0.8199622521263819,402.0,0.003783716864132397,92.33333333333333,0.38617162041941944,12.333333333333334,0.15999490705373057,-0.040318627450980395,-0.034730392156862765,0.840303606688316,130.5,1.750493850339164,0.39999999999999997,0.35333333333333333,0.184141610412451,0.6644299723132424,ctx-lh-parsorbitalis
1020,0.11948423075310907,0.04354145553973037,4.175079035257278,14.719696969696969,0.16428400837112375,0.0005936476659816999,0.8244779584951657,423.0984848484848,0.003828778735355053,47.20454545454545,0.3565069362984074,8.401515151515152,0.29079124330496414,-0.09438001336898395,-0.09016571969696968,0.8072624763344098,116.89393939393939,1.763949804476301,0.4313636363636364,0.3798484848484849,0.2750996984941306,0.7398144116570043,ctx-lh-parstriangularis
1021,-0.03488714652181817,-0.14729025863617862,5.765894661802787,20.47222222222222,0.3179094137009406,-0.0018434935840655382,0.7932466439525782,560.6388888888888,0.004302970731044037,61.25,0.4317828444576928,12.472222222222221,0.3420953139090394,-0.07290134803921569,-0.07799019607843137,0.9482483300693186,116.6111111111111,1.6079293834161448,0.4138888888888889,0.3755555555555556,0.18799786767088597,0.5456185063624417,ctx-lh-pericalcarine
