mni_x,mni_y,mni_z,x,y,z,roiNum,snum,abvr,lobe,isSideLeft
25.66205,-4.23938,-1.17192297483507,25.66205,-4.23938,-1.17192297483507,52,11,Pal_R,Subcortical,0
26.0111,-4.423465,4.86472745447101,26.0111,-4.423465,4.86472745447101,51,10,Put_R,Subcortical,0
25.771349999999998,-3.85197,11.41917920083567,25.77135,-3.85197,11.41917920083567,51,10,Put_R,Subcortical,0
13.5217,16.59795,-12.93089150412116,13.5217,16.59795,-12.93089150412116,2012,59,LObFr_R,Frontal,0
14.71445,17.70565,-7.31169310353379,14.71445,17.70565,-7.31169310353379,58,14,Acc_R,Subcortical,0
16.14745,19.3795,-3.309325211570845,16.14745,19.3795,-3.309325211570845,50,9,Cau_R,Subcortical,0
17.93925,21.4405,1.003476507796655,17.93925,21.4405,1.003476507796655,50,9,Cau_R,Subcortical,0
19.8273,23.544600000000003,6.36660989059953,19.8273,23.544600000000003,6.36660989059953,50,9,Cau_R,Subcortical,0
36.40265,29.12345,0.023468220760126002,36.40265,29.12345,0.023468220760126,2020,67,ParTrg_R,Frontal,0
43.013450000000006,26.664,1.7123009095771256,43.013450000000006,26.664,1.7123009095771256,2020,67,ParTrg_R,Frontal,0
-23.203400000000002,-6.495785,-13.0967906252345,-23.2034,-6.495785,-13.0967906252345,18,6,Amy_L,Subcortical,1
-52.29145,-15.3515,-7.950694140234585,-52.29145,-15.3515,-7.950694140234585,1030,43,SpTmp_L,Temporal,1
-58.14265,-16.96195,-7.319194786331895,-58.14265,-16.96195,-7.319194786331895,1030,43,SpTmp_L,Temporal,1
-44.487049999999996,-27.22785,-4.401862017415415,-44.48705,-27.22785,-4.401862017415415,1030,43,SpTmp_L,Temporal,1
-49.52455,-29.09175,-5.31545611292555,-49.52455,-29.09175,-5.31545611292555,1015,28,MTem_L,Temporal,1
-53.76835,-32.06505,-8.34096719596433,-53.76835,-32.06505,-8.34096719596433,1015,28,MTem_L,Temporal,1
-58.734049999999996,-35.36805,-9.212796857155135,-58.73405,-35.36805,-9.212796857155135,1015,28,MTem_L,Temporal,1
-63.653800000000004,-36.731300000000005,-5.751523804663,-63.6538,-36.731300000000005,-5.751523804663,1015,28,MTem_L,Temporal,1
-30.740650000000002,-31.6935,-2.074793602917495,-30.74065,-31.6935,-2.074793602917495,17,5,Hip_L,Subcortical,1
-53.73765,-44.45425,-3.7071997197534947,-53.73765,-44.45425,-3.7071997197534943,1009,22,InTem_L,Temporal,1
-58.0668,-47.266850000000005,-3.09211609518091,-58.0668,-47.266850000000005,-3.09211609518091,1015,28,MTem_L,Temporal,1
-43.873599999999996,-66.0741,3.3235925367759,-43.8736,-66.0741,3.3235925367759,1009,22,InTem_L,Temporal,1
-48.81685,-67.429,6.220169333207425,-48.81685,-67.429,6.220169333207425,1009,22,InTem_L,Temporal,1
-53.8193,-68.9492,8.900862096436345,-53.8193,-68.9492,8.900862096436345,1009,22,InTem_L,Temporal,1
-23.034550000000003,23.69435,39.5118694552627,-23.034550000000003,23.69435,39.5118694552627,1027,40,RMFr_L,Frontal,1
-29.455750000000002,26.4708,40.70033203495265,-29.45575,26.4708,40.70033203495265,1027,40,RMFr_L,Frontal,1
-36.0625,25.933300000000003,42.4394295994339,-36.0625,25.933300000000003,42.4394295994339,1003,17,CaMFr_L,Frontal,1
-41.38055,24.3883,43.50090859597865,-41.38055,24.3883,43.50090859597865,1003,17,CaMFr_L,Frontal,1
-42.1012,43.42035,10.57796042488431,-42.1012,43.42035,10.57796042488431,1027,40,RMFr_L,Frontal,1
-41.7392,29.1575,-0.076553463878345,-41.7392,29.1575,-0.076553463878345,1020,33,ParTrg_L,Frontal,1
-47.64885,30.25695,1.1582371849068416,-47.64885,30.25695,1.1582371849068416,1020,33,ParTrg_L,Frontal,1
-52.8641,31.76345,0.693853487703977,-52.8641,31.76345,0.693853487703977,1020,33,ParTrg_L,Frontal,1
