roiNum,deltaRel,thetaRel,alphaRel,betaRel,gammaRel,broadRel,entropy_1min,entropy_fullts,roi
1010,0.18960419478801072,0.16961153642384127,0.14594659944923924,0.15058635793489222,0.10738181891725716,0.23686949248675937,0.6651879100474481,0.7945520529074384,ctx-lh-isthmuscingulate
1011,0.19682291509665192,0.1802467611028092,0.17407971821203333,0.1461560352544662,0.07211531173762754,0.2305792585964117,0.6647043884316803,0.7940349182460841,ctx-lh-lateraloccipital
1012,0.20369386925871635,0.1717311895423338,0.13592289543396754,0.1479522746250239,0.07829857902040754,0.2624011921195508,0.6655297426059794,0.7949185337318073,ctx-lh-lateralorbitofrontal
1013,0.17504564945466095,0.17983849045074687,0.18664097610604632,0.15477080502282373,0.08178046569995077,0.22192361326577137,0.6628627658542695,0.7920614353370059,ctx-lh-lingual
1014,0.20202360076025505,0.16364406016323477,0.14289044798961734,0.14912350411286085,0.09416109814016664,0.2481572888338654,0.6640366563191699,0.7933196645404904,ctx-lh-medialorbitofrontal
1015,0.19756869639266153,0.16325660815814072,0.17359051102871417,0.15154846807515474,0.07432968566436582,0.239706030680963,0.6689338930126668,0.7985614015376763,ctx-lh-middletemporal
1017,0.1472917689594897,0.16525406646614912,0.14257214465619214,0.18675529444064598,0.12418097367589988,0.23394575180162322,0.6647132458278712,0.7940437610081492,ctx-lh-paracentral
1018,0.17459469657532475,0.16882863690599412,0.14642542052122612,0.17490173011086127,0.10210247975756664,0.2331470361290271,0.6641177792302757,0.7934064729238287,ctx-lh-parsopercularis
1019,0.20671477425566187,0.1677074205334513,0.10609977073755884,0.15794924824197895,0.0829681846042586,0.27856060162709034,0.6677054141207645,0.7972472623814095,ctx-lh-parsorbitalis
1020,0.18402406028839033,0.16514992269200496,0.13191648782934778,0.17204582779279756,0.10103190429901397,0.2458317970984454,0.663797214657973,0.7930633591959865,ctx-lh-parstriangularis
1021,0.192409139439334,0.17227584726899015,0.1661851351285006,0.1542851814215792,0.09131701186809638,0.2235276848734997,0.6637910484174429,0.7930561344054997,ctx-lh-pericalcarine
1022,0.16108788123585896,0.16165383892267757,0.16389303557132986,0.17502837841348132,0.10581828649550981,0.23251857936114254,0.6644964256697846,0.7938116624534032,ctx-lh-postcentral
1023,0.15286761077515884,0.17378957919058502,0.13879840751756647,0.1890501346560068,0.11247263914698635,0.23302162871369644,0.663976036820774,0.7932550012057898,ctx-lh-posteriorcingulate
1024,0.1616088822672625,0.1671498644123778,0.15295087446993003,0.18321699232094474,0.10761643043992032,0.22745695608956468,0.6651175455495052,0.7944769355400281,ctx-lh-precentral
1025,0.17124129316732348,0.16575833526505415,0.16541197927761447,0.16193673844337048,0.10617064914094101,0.22948100470569638,0.6659901253650456,0.7954104815143778,ctx-lh-precuneus
1026,0.20909001433418226,0.1584205909491971,0.15616149205725827,0.15688731009082515,0.06728094237777839,0.25215965019075887,0.6630429927827007,0.7922549165538446,ctx-lh-rostralanteriorcingulate
1027,0.18306154951625034,0.16709072694694949,0.14485880308732405,0.17144871538011186,0.09899026191661017,0.2345499431527541,0.6648512276362027,0.7941909377601792,ctx-lh-rostralmiddlefrontal
1028,0.17899268621149836,0.17033648518123382,0.14333398301326972,0.17081498559376396,0.09646471240179089,0.24005714759844327,0.6637321346025884,0.7929927819854581,ctx-lh-superiorfrontal
1029,0.16258909594424686,0.16799291799707372,0.1705517701356375,0.16682652314342628,0.10059357463985427,0.23144611813976138,0.6663003777290144,0.795743081589952,ctx-lh-superiorparietal
1030,0.1893573804858138,0.17101923398756275,0.16686167793625412,0.1524924023992817,0.085703243695708,0.23456606149537967,0.6649052836514013,0.7942493058346098,ctx-lh-superiortemporal
1031,0.17567278221536378,0.1649330725883718,0.1702870396007878,0.16431812758302317,0.08693751870653271,0.23785145930592064,0.6666647038695847,0.7961322722001477,ctx-lh-supramarginal
